                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.59009,                0.46792,                  1.038,                      1,                0.98895,                  0.995,                0.90205,                0.43539,                0.31895,                0.88793,              0.0004358,              0.0004358,              0.0004358
                     81,                0.66507,                0.51936,                 1.0619,                0.98114,                0.99107,                0.99473,                0.90264,                0.43053,                0.32396,                0.88573,               0.000416,               0.000416,               0.000416
                     82,                0.59428,                0.48552,                 1.0711,                0.99574,                0.99107,                  0.995,                 0.9091,                0.43924,                0.31765,                0.88799,              0.0003962,              0.0003962,              0.0003962
                     83,                0.63137,                0.50261,                 1.0694,                      1,                0.99893,                  0.995,                0.90806,                0.44413,                0.30856,                0.88367,              0.0003764,              0.0003764,              0.0003764
                     84,                0.59928,                0.49449,                 1.0422,                0.99903,                      1,                  0.995,                0.91628,                0.40166,                0.28997,                 0.8691,              0.0003566,              0.0003566,              0.0003566
                     85,                0.61576,                0.48112,                 1.0444,                0.99891,                      1,                  0.995,                 0.9191,                0.39049,                0.29103,                0.86705,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.5879,                0.49307,                 1.0276,                0.99922,                      1,                  0.995,                0.92489,                0.37909,                0.28092,                0.86014,               0.000317,               0.000317,               0.000317
                     87,                0.59123,                0.46147,                 1.0304,                0.99898,                      1,                  0.995,                0.92388,                0.37559,                0.27706,                0.85427,              0.0002972,              0.0002972,              0.0002972
                     88,                0.63019,                 0.5169,                 1.0755,                0.99883,                      1,                  0.995,                 0.9248,                0.38002,                0.27976,                0.85414,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64155,                0.48713,                 1.0838,                0.99883,                      1,                  0.995,                0.92385,                0.38317,                0.28251,                 0.8557,              0.0002576,              0.0002576,              0.0002576
                     90,                0.54767,                0.42892,                 1.0096,                0.99889,                      1,                  0.995,                  0.926,                0.38507,                0.28703,                0.85983,              0.0002378,              0.0002378,              0.0002378
                     91,                0.43489,                0.40794,                0.91647,                0.99893,                      1,                  0.995,                0.92682,                0.37407,                0.29137,                 0.8567,               0.000218,               0.000218,               0.000218
                     92,                0.45153,                0.37522,                0.95854,                  0.999,                      1,                  0.995,                0.91919,                0.36507,                0.29792,                0.85007,              0.0001982,              0.0001982,              0.0001982
                     93,                0.42914,                0.35704,                0.91474,                0.99867,                      1,                  0.995,                0.92397,                0.36433,                0.30206,                0.84866,              0.0001784,              0.0001784,              0.0001784
                     94,                0.46981,                0.37323,                0.98094,                0.99948,                      1,                  0.995,                0.92165,                0.36116,                0.30198,                 0.8462,              0.0001586,              0.0001586,              0.0001586
                     95,                0.46509,                0.39467,                0.99401,                      1,                0.99997,                  0.995,                0.93024,                0.35843,                0.29286,                 0.8442,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.3834,                0.31855,                0.93923,                      1,                0.99937,                  0.995,                 0.9317,                0.35392,                0.28182,                0.84178,               0.000119,               0.000119,               0.000119
                     97,                0.42195,                0.32086,                0.97544,                0.99885,                0.99107,                  0.995,                0.93675,                0.35129,                0.27611,                0.84124,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.42595,                0.33716,                0.94857,                0.99896,                0.99107,                  0.995,                0.93872,                0.34524,                0.27033,                0.83903,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.36844,                0.30872,                0.89095,                0.99894,                0.99107,                  0.995,                0.94553,                0.33846,                0.26865,                0.83605,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.37592,                0.29372,                0.90939,                0.99894,                0.99107,                  0.995,                0.94736,                0.33428,                0.26471,                0.83388,               3.98e-05,               3.98e-05,               3.98e-05
